#########################################
### Sources NVSS , Union of three (3) sets : 
## (1)   DEC > 80 deg,   S* > 1 Jy
## (2)   DEC > 85 deg,   S* > 0.5 Jy
###  (1) U (2) 
#########################################
#  RA (deg)  DEC (deg)  S* (Jy) 
#####   Set (2)  DEC > 80 deg,   S* > 1 Jy
   19.3867      89.4802       2.0601
   35.6497      86.2909       1.8067
   35.7014      86.3143       3.6715
   37.5449      81.6916       1.0434
   45.0468      82.0441       1.3782
   99.6048      84.1852       1.0997
   115.696      80.4616       1.4875
   115.774      80.4289       1.8335
   117.742      82.6996       1.8448
   144.848      83.2573       2.9522
   154.394      81.0883        1.171
   155.861      80.5487       1.8058
   178.303      80.9749       1.3431
    195.15      80.9108       1.2509
   240.593      80.2664        1.015
   244.919      85.8226       1.6429
   322.361      84.8907       1.2732
   322.536      83.9585       1.7968
    351.67      82.5328       1.0002
   356.015      82.4445       3.7771
#####   Set (3)  DEC > 85 deg,   S* > 0.5 Jy
   3.15204      85.7204       0.6895
   17.6892      87.6395       0.6855
   35.7066      86.3409       0.9965
   95.5229      87.3302       0.6442
    140.07      86.4794       0.5188
    197.05      85.7402       0.5924
   249.856      86.5317       0.8516
   279.301      85.2471       0.6889
   285.961      85.6133       0.9043
   295.403      85.0274       0.6616
   341.812      85.9285       0.5154


